,station_id,station_point
0,690192,103.78200144192336|25.51039640652452
1,690204,103.81059634244832|25.479292549413778
2,690248,103.80516399895522|25.50025992545473
3,690261,103.79817274666794|25.498033013920168
4,690300,103.78675008328557|25.505365754268933
5,690319,103.79183624255631|25.508261824528187
6,690781,103.76597443800807|25.52680178953336
7,691327,103.82093965270604|25.50777221827595
8,737094,103.80063399475083|25.513857033448325
9,737105,103.80395613288586|25.510653391338707
10,737111,103.8102175212796|25.510528459885364
11,737112,103.80348210227164|25.483281957150613
12,737115,103.75256634242923|25.538931255901026
13,737122,103.8226179338846|25.51138910821437
14,737123,103.80201073826507|25.48666535681253
15,737125,103.80525245369896|25.506842841315745
16,737127,103.8050849379169|25.506310998280536
17,737132,103.76786221229612|25.524118959839186
18,737141,103.80599413843883|25.508960446213425
19,737152,103.75715578194713|25.540604598718428
20,737156,103.79982641246052|25.51353192583284
21,737157,103.73892676010122|25.5378285904183
22,737166,103.7985146493071|25.494468501960643
23,737192,103.82262784685466|25.509748814612703
24,737212,103.75161030772281|25.522820968004943
25,737236,103.80671528601555|25.506669014056875
26,737269,103.78260411291686|25.513495808458984
27,737331,103.80520183121531|25.50587341997938
28,737376,103.82260781227868|25.508046202454295
29,737383,103.76145131366992|25.511463845452226
30,737497,103.79879459752384|25.491208196173186
31,737570,103.80467702226599|25.486002046966256
32,737699,103.75621195194137|25.538748968392092
33,738062,103.7554542060438|25.50932524377829
34,739969,103.79525222112848|25.49675529682562
35,763899,103.77313105973181|25.538105981500966
36,763943,103.78678181103079|25.51798576057997
37,764063,103.74658518380285|25.548970582322728
38,548733,103.82383990730848|25.533256316641403
39,548751,103.8320006651534|25.550310249610444
40,548759,103.83194699999989|25.54995900771228
41,548762,103.83180517569271|25.548367980221197
42,552086,103.78876491357428|25.544244597880233
43,552098,103.78201432068458|25.510373938531686
44,552113,103.74621513041782|25.531642767513674
45,552234,103.73316632126732|25.514197361436825
46,552255,103.8082741191773|25.529855750886252
47,552601,103.8193682763146|25.51632726851936
48,552602,103.81909510869505|25.516295863121037
49,552642,103.80333599407037|25.513187254873653
50,552723,103.82403709393202|25.507411313921114
51,552725,103.82476272581874|25.507511400868797
52,552727,103.8252867610867|25.507476319302423
53,552734,103.8225448499548|25.511354065382747
54,552744,103.81032257285406|25.50652357735086
55,552775,103.80501219231584|25.507397600732745
56,552784,103.80536699999992|25.50691200764983
57,552807,103.80500923597475|25.505929041239863
58,552858,103.82378712186384|25.488554895673225
59,552988,103.80478053745905|25.492316131208884
60,553017,103.79889313216458|25.494138056457224
61,553235,103.81696631778995|25.474693255855623
62,553271,103.81502811760612|25.47999545713033
63,553319,103.79861520060628|25.498712426529295
64,553336,103.79841206901486|25.498422735064604
65,553371,103.79505729986931|25.497131461387823
66,553372,103.79487062877365|25.49735276918827
67,553373,103.7946442690163|25.49760436392386
68,561346,103.80027830485568|25.52050194289877
69,561447,103.79351631484661|25.51748104893337
70,561464,103.7656388909468|25.52616901997358
71,561499,103.83153540266862|25.543538172981027
72,561500,103.83189894030204|25.54372628762893
73,561511,103.83230719314525|25.55223836108251
74,561527,103.80638314655732|25.4908779794274
75,561560,103.7661915440981|25.511474823044598
76,561609,103.78852367182186|25.517406644164232
77,561616,103.78912534623461|25.51173471372451
78,561720,103.81068410007487|25.47924243986421
79,561784,103.81225584830341|25.466162409602447
80,561808,103.8127957200829|25.4731348810373
81,562988,103.83192799999996|25.551313003021214
82,563130,103.82755139188757|25.55151319925407
83,563178,103.78896780255191|25.480221407201714
84,563280,103.8004486496746|25.5138618740967
85,563457,103.78754745133772|25.50457668910031
86,563792,103.80209767173231|25.520439075179876
87,563949,103.7477393600342|25.52723328727664
88,564117,103.7526123494485|25.5388077454947
89,564195,103.82016019405741|25.480992518545385
90,564254,103.80643232420911|25.485969294933028
91,564997,103.74206866268402|25.542671233913524
92,565003,103.73369684018984|25.546680974522285
93,565012,103.7299179999999|25.547510006400138
94,565021,103.73919680517788|25.53790518964664
95,565478,103.79156274544474|25.508299857468916
96,565491,103.79325323355009|25.508282003859968
97,565494,103.79362144348224|25.508269462527533
98,565509,103.79600908477151|25.508250002203493
