id,plan_id,city_id,area_id,group_id,tdate,span_id,station_id,station_center_point,block_id,target_bike_cnt,bike_num,predict_in,dispatch_num,efficiency,profit_order,in_bike_cnt,explore_target_bike_cnt,max_capacity,min_capacity,status,create_time,update_time
7468867,18418,360,1,216,20220902,20,184834,118.10352664973|36.953732153976,8b30a40698d3fff,1,0,1,0,0,0.537957,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468868,18418,360,1,216,20220902,20,184835,118.10095714593278|36.95393861280027,8b30a4069898fff,5,4,2,0,0,1.17555,7,6,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468869,18418,360,1,216,20220902,20,184833,118.10430817552|36.953660056038,8b30a40698dafff,2,1,1,0,0,1.13111,1,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468870,18418,360,1,216,20220902,20,153095,118.12446615117|36.970395745119,8b30a4a9bd06fff,1,1,0,0,0,0.400259,4,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468871,18418,360,1,216,20220902,20,35333,118.11166529765|36.964322593158,8b30a4a9a085fff,6,3,5,0,0,1.37879,9,6,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468872,18418,360,1,216,20220902,20,55813,118.11627360492|36.965984198439,8b30a4a9a040fff,3,11,1,0,0,0.914715,4,4,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468873,18418,360,1,216,20220902,20,55814,118.11324631535|36.966809580936,8b30a4a9a02efff,2,0,1,0,0,1.16141,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468874,18418,360,1,216,20220902,20,55815,118.10835055032|36.957762319212,8b30a4069b23fff,3,0,1,0,0,1.18932,0,5,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468875,18418,360,1,216,20220902,20,135696,118.0808758763|36.942141526601,8b30a406ab61fff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468876,18418,360,1,216,20220902,20,35346,118.11335411201|36.975711604558,8b30a4a984a2fff,4,0,2,0,0,0.706414,1,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468877,18418,360,1,216,20220902,20,35347,118.10033766517|36.976435974051,8b30a4a9e620fff,5,9,3,0,0,0.794813,1,3,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468878,18418,360,1,216,20220902,20,147473,118.10746122786|36.958825699047,8b30a4a9a48afff,0,0,0,0,0,0,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
7468879,18418,360,1,216,20220902,20,135697,118.10288885282|36.949146588094,8b30a40690a6fff,1,0,1,0,0,0.662878,0,0,0,0,1,2022/9/2 9:00,2022/9/2 9:00
