,city_id,block_id,opportunity_cost
0,360,8b30a406cb5bfff,"{'9': 2.791800267317078, '10': 0.0, '11': 0.0}"
1,360,8b30a406cb58fff,"{'9': 2.791800267317078, '10': 0.0, '11': 0.0}"
2,360,8b30a406cb5cfff,"{'9': 2.791800267317078, '10': 0.0, '11': 0.0}"
3,360,8b30a406cb5dfff,"{'9': 2.791800267317078, '10': 0.0, '11': 0.0}"
4,360,8b30a406cb59fff,"{'9': 2.791800267317078, '10': 0.0, '11': 0.0}"
5,360,8b30a406cb5afff,"{'9': 2.791800267317078, '10': 0.0, '11': 0.0}"
6,360,8b30a406cb5efff,"{'9': 2.791800267317078, '10': 0.0, '11': 0.0}"
7,360,8b30a406d592fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
8,360,8b30a406d590fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
9,360,8b30a406d593fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
10,360,8b30a406d595fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
11,360,8b30a406d594fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
12,360,8b30a406d591fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
13,360,8b30a406d596fff,"{'9': 1.8552307271295123, '10': 0.0, '11': 0.0}"
14,360,8b30a4a924e4fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
15,360,8b30a4a924e1fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
16,360,8b30a4a924e3fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
17,360,8b30a4a924e2fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
18,360,8b30a4a924e0fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
19,360,8b30a4a924e5fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
20,360,8b30a4a924e6fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
21,360,8b30a4a98486fff,"{'9': 1.1206908681326442, '10': 1.5882252752780914, '11': 0.0}"
22,360,8b30a4a98480fff,"{'9': 1.1206908681326442, '10': 1.5882252752780914, '11': 0.0}"
23,360,8b30a4a98485fff,"{'9': 1.1206908681326442, '10': 1.5882252752780914, '11': 0.0}"
24,360,8b30a4a98483fff,"{'9': 1.1206908681326442, '10': 1.5882252752780914, '11': 0.0}"
25,360,8b30a4a98481fff,"{'9': 1.1206908681326442, '10': 1.5882252752780914, '11': 0.0}"
26,360,8b30a4a98482fff,"{'9': 1.1206908681326442, '10': 1.5882252752780914, '11': 0.0}"
27,360,8b30a4a98484fff,"{'9': 1.1206908681326442, '10': 1.5882252752780914, '11': 1.080464485878352}"
28,360,8b30a40611b1fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
29,360,8b30a40611b2fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
30,360,8b30a40611b3fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
31,360,8b30a40611b5fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
32,360,8b30a40611b0fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
33,360,8b30a4061b16fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
34,360,8b30a4061b14fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
35,360,8b30a4061b11fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
36,360,8b30a4061b12fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
37,360,8b30a4061b10fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
38,360,8b30a4061b13fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
39,360,8b30a4061b15fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
40,360,8b30a406aa36fff,"{'9': 0.2657204866409302, '10': 0.0, '11': 0.0}"
41,360,8b30a406aa33fff,"{'9': 0.2657204866409302, '10': 0.0, '11': 0.0}"
42,360,8b30a406aa34fff,"{'9': 0.2657204866409302, '10': 0.0, '11': 0.0}"
43,360,8b30a406aa30fff,"{'9': 0.2657204866409302, '10': 0.0, '11': 0.0}"
44,360,8b30a406aa31fff,"{'9': 0.2657204866409302, '10': 0.0, '11': 0.0}"
45,360,8b30a406aa35fff,"{'9': 0.2657204866409302, '10': 0.0, '11': 0.0}"
46,360,8b30a406aa32fff,"{'9': 0.2657204866409302, '10': 0.0, '11': 0.0}"
47,360,8b30a406b8e1fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
